"asx","oecd_li","abs_imports","abs_exports","gold_price_london_fixing","unemployment","rba_cash_rate","yearly_inflation","quarterly_inflation","exchange_rate","djia","pe_ratio","dividend","iron","oil","Date"
4107,100.2116,11154780,9232638,438,5.056507,5.25,2.5,1,0.7744,10490,17,3.6,28,47,2005-01-01
4173,100.1457,11123461,9503409,423.8,5.660385,5.25,2.5,1,0.7905,10766,15.1,3.8,28,48,2005-02-01
4110,100.0687,12699350,10451659,436.55,5.796897,5.5,2.5,1,0.7719,10504,14.9,3.9,28,54,2005-03-01
3983,100.0158,12569908,11566650,427.5,5.503269,5.5,2.4,0.5,0.7811,10193,14.3,4,28,53,2005-04-01
4106,99.97686,12788296,12149662,433.2,5.258609,5.5,2.4,0.5,0.7557,10467,14.3,4,28,50,2005-05-01
4278,99.93579,12806139,11582633,416.9,5.194535,5.5,2.4,0.5,0.7637,10275,15.2,3.8,28,56,2005-06-01
4389,99.88754,12964506,12267962,436.8,4.913159,5.5,2.5,0.6,0.7595,10641,15.6,3.7,28,59,2005-07-01
4447,99.84252,13759823,11904079,427.15,4.640543,5.5,2.5,0.6,0.7471,10482,16,3.4,28,65,2005-08-01
4641,99.81567,13660800,11743859,433,4.768026,5.5,2.5,0.6,0.7615,10569,16,3.7,28,66,2005-09-01
4460,99.81302,13366487,12526899,473.4,5.091988,5.5,3.1,1,0.7487,10440,15.3,3.8,28,62,2005-10-01
4635,99.82775,15129155,12130789,472.65,4.809616,5.5,3.1,1,0.7389,10806,15.5,3.8,28,58,2005-11-01
4763,99.84965,13590451,14018458,493.8,4.651808,5.5,3.1,1,0.7337,10718,16,3.7,28,59,2005-12-01
4930,99.85685,13348271,10808364,513,5.029458,5.5,2.8,0.6,0.751,10865,16.5,3.6,33,65,2006-01-01
4921,99.84747,12674235,12358417,569.8,5.7445,5.5,2.8,0.6,0.7382,10993,14.7,3.8,33,62,2006-02-01
5130,99.81744,14365491,13172204,556.5,5.828706,5.5,2.8,0.6,0.7159,11109,15.7,3.6,33,63,2006-03-01
5259,99.78557,14004362,13425403,584,5.208147,5.5,2.9,0.8,0.7542,11367,16.2,3.5,33,70,2006-04-01
5002,99.794,15422466,13471602,638.25,5.117112,5.75,2.9,0.8,0.7636,11168,15.2,3.8,33,71,2006-05-01
5074,99.86778,15077949,14664296,654,4.880183,5.75,2.9,0.8,0.7433,11150,15.3,3.8,33,71,2006-06-01
4986,100.005,14192201,14312579,600.4,4.761549,5.75,4,1.5,0.7658,11186,15.2,3.8,33,74,2006-07-01
5115,100.1765,15216060,14301930,637,4.336332,6,4,1.5,0.7627,11381,13.3,3.9,33,73,2006-08-01
5154,100.3579,15044124,14000190,621.75,4.570812,6,4,1.5,0.748,11679,13.3,3.9,33,64,2006-09-01
5384,100.5251,16341165,14645785,601.75,4.750113,6,4,0.8,0.7692,12081,13.9,3.7,33,59,2006-10-01
5482,100.6666,15693598,13895531,600.9,4.284861,6.25,4,0.8,0.785,12222,13.8,3.9,33,59,2006-11-01
5670,100.77,14643723,14697480,638.4,4.241327,6.25,4,0.8,0.7913,12463,14.4,3.7,33,62,2006-12-01
5773,100.8396,14541289,12624735,635.7,4.526742,6.25,3.3,0.1,0.772,12622,14.7,3.7,37,54,2007-01-01
5833,100.8764,14086028,13252546,645.75,5.074107,6.25,3.3,0.1,0.788,12269,13.9,3.8,37,59,2007-02-01
