"Month_Year","oecd_li","abs_imports","abs_exports","GOFO...1.Month","USD..AM.","aud_usd_bid_avg","unemployment","RBA Cash Rate","Year.end.Inflation","Quarterly.Inflation","Aud_usd","Date","close","djia","pe.ratio","yield","iron","oil"
"01-2005",100.2116,11154780,9232638,0.065,1502.95,0.6719,4.381,5.25,2.5,1,NA,2005-01-01,4107,10490,17,3.6,28,47
"02-2005",100.1457,11123461,9503409,0.09,1493.65,0.6728,4.386,5.25,2.5,1,0.7737,2005-02-01,4173,10766,15.1,3.8,28,48
"03-2005",100.0687,12699350,10451659,0.085,1494.6,0.6744,4.391,5.5,2.5,1,0.7869,2005-03-01,4110,10504,14.9,3.9,28,54
"04-2005",100.0158,12569908,11566650,0.08,1509.95,0.6761,4.396,5.5,2.4,0.5,0.773,2005-04-01,3983,10193,14.3,4,28,53
"05-2005",99.97686,12788296,12149662,0.08,1504.95,0.6737,4.401,5.5,2.4,0.5,NA,2005-05-01,4106,10467,14.3,4,28,50
"06-2005",99.93579,12806139,11582633,0.075,1542.6,0.6756,4.406,5.5,2.4,0.5,0.7561,2005-06-01,4278,10275,15.2,3.8,28,56
"07-2005",99.88754,12964506,12267962,0.035,1538.8,0.6771,4.411,5.5,2.5,0.6,0.7579,2005-07-01,4389,10641,15.6,3.7,28,59
"08-2005",99.84252,13759823,11904079,0.0675,1532.45,0.6778,4.415,5.5,2.5,0.6,NA,2005-08-01,4447,10482,16,3.4,28,65
"09-2005",99.81567,13660800,11743859,0.075,1523.35,0.6774,4.42,5.5,2.5,0.6,0.7552,2005-09-01,4641,10569,16,3.7,28,66
"10-2005",99.81302,13366487,12526899,0.0825,1526.55,0.6778,4.425,5.5,3.1,1,NA,2005-10-01,4460,10440,15.3,3.8,28,62
"11-2005",99.82775,15129155,12130789,0.1,1536.65,0.6782,4.429,5.5,3.1,1,0.7462,2005-11-01,4635,10806,15.5,3.8,28,58
"12-2005",99.84965,13590451,14018458,0.105,1541.75,0.677,4.434,5.5,3.1,1,0.7385,2005-12-01,4763,10718,16,3.7,28,59
"01-2006",99.85685,13348271,10808364,0.1075,1531.85,0.6787,4.439,5.5,2.8,0.6,NA,2006-01-01,4930,10865,16.5,3.6,33,65
"02-2006",99.84747,12674235,12358417,0.1,1495.5,0.6758,4.443,5.5,2.8,0.6,0.7577,2006-02-01,4921,10993,14.7,3.8,33,62
"03-2006",99.81744,14365491,13172204,0.0575,1498.7,0.6779,4.447,5.5,2.8,0.6,0.743,2006-03-01,5130,11109,15.7,3.6,33,63
"04-2006",99.78557,14004362,13425403,0.045,1499.65,0.6807,4.452,5.5,2.9,0.8,NA,2006-04-01,5259,11367,16.2,3.5,33,70
"05-2006",99.794,15422466,13471602,0.025,1502.65,0.677,4.456,5.5,2.9,0.8,0.7614,2006-05-01,5002,11168,15.2,3.8,33,71
"06-2006",99.86778,15077949,14664296,-0.005,1499.35,0.6744,4.46,5.5,2.9,0.8,0.7488,2006-06-01,5074,11150,15.3,3.8,33,71
"07-2006",100.005,14192201,14312579,-0.05,1509.05,0.678,4.464,5.5,4,1.5,NA,2006-07-01,4986,11186,15.2,3.8,33,74
"08-2006",100.1765,15216060,14301930,-0.05,1517.65,0.6772,4.468,6,4,1.5,0.763,2006-08-01,5115,11381,13.3,3.9,33,73
"09-2006",100.3579,15044124,14000190,-0.04,1500.35,0.6805,4.472,6,4,1.5,0.765,2006-09-01,5154,11679,13.3,3.9,33,64
"10-2006",100.5251,16341165,14645785,-0.0425,1527.2,0.6847,4.476,6,4,0.8,NA,2006-10-01,5384,12081,13.9,3.7,33,59
"11-2006",100.6666,15693598,13895531,-0.065,1501.95,0.6886,4.48,6,4,0.8,0.7739,2006-11-01,5482,12222,13.8,3.9,33,59
"12-2006",100.77,14643723,14697480,-0.08,1503.5,0.6898,4.484,6,4,0.8,0.7896,2006-12-01,5670,12463,14.4,3.7,33,62
"01-2007",100.8396,14541289,12624735,-0.09,1497.4,0.6907,4.488,6,3.3,0.1,NA,2007-01-01,5773,12622,14.7,3.7,37,54
"02-2007",100.8764,14086028,13252546,-0.0625,1487.65,0.6942,4.492,6,3.3,0.1,0.7751,2007-02-01,5833,12269,13.9,3.8,37,59
"03-2007",100.8828,15334324,13928735,-0.035,1461.85,0.6972,4.497,6,3.3,0.1,0.786,2007-03-01,5995,12354,14.2,3.7,37,61
"04-2007",100.8796,14614800,13878022,-0.03,1457.45,0.6983,4.501,6,2.5,0,NA,2007-04-01,6166,13063,14.6,3.6,37,64
"05-2007",100.8766,15636163,14699971,-0.0625,1436.05,0.7024,4.505,6,2.5,0,0.8292,2007-05-01,6314,13628,14.9,3.6,37,63
"06-2007",100.8757,15389033,13861035,-0.03333,1406.4,0.7039,4.51,6,2.5,0,0.8295,2007-06-01,6275,13409,15.1,3.3,37,67
"07-2007",100.8831,15242660,14404899,0.0925,1430.55,0.7065,4.514,6,2.1,1.2,NA,2007-07-01,6144,13212,15.3,3.3,37,74
"08-2007",100.8928,16871178,14642700,0.125,1428.45,0.7023,4.519,6,2.1,1.2,0.8454,2007-08-01,6247,13358,13.6,3.6,37,72
"09-2007",100.9066,15556230,13740272,0.1325,1418.95,0.7011,4.523,6,2.1,1.2,NA,2007-09-01,6568,13896,14.4,3.4,37,80
"10-2007",100.912,17377972,13689019,0.1375,1418.25,0.7035,4.528,6,1.8,0.6,NA,2007-10-01,6754,13930,14.9,3.4,37,86
"11-2007",100.8913,17439927,14081291,0.1375,1426.35,0.7028,4.533,6,1.8,0.6,0.9305,2007-11-01,6533,13372,14.3,3.6,37,95
"12-2007",100.825,15697219,15581728,0.0975,1425.55,0.6989,4.538,6,1.8,0.6,NA,2007-12-01,6340,13265,14,3.7,37,91
"01-2008",100.7146,16874900,13422014,0.0725,1417.55,0.6969,4.543,6,2.9,1.2,NA,2008-01-01,5650,12650,12.4,4.1,61,93
"02-2008",100.5883,16606530,13614422,0.035,1424.45,0.692,4.548,6,2.9,1.2,0.8951,2008-02-01,5572,12266,12,4.1,61,95
"03-2008",100.4803,16716426,15435964,-0.17,1437.05,0.6956,4.553,6,2.9,1.2,NA,2008-03-01,5356,12263,12.5,4.2,61,105
"04-2008",100.4016,17566772,16351597,-0.285,1420.9,0.6984,4.558,6,4.3,1.2,0.9102,2008-04-01,5595,12820,12.5,4.2,61,113
"05-2008",100.3163,18204582,17791925,-0.3825,1400.8,0.7022,4.562,6,4.3,1.2,0.9377,2008-05-01,5655,12638,12.5,4.1,61,125
