date,close,djia,pe ratio  ,yield,iron,oil
31/01/2005,4107,10490,17,3.6,28,47
28/02/2005,4173,10766,15.1,3.8,28,48
31/03/2005,4110,10504,14.9,3.9,28,54
29/04/2005,3983,10193,14.3,4,28,53
31/05/2005,4106,10467,14.3,4,28,50
30/06/2005,4278,10275,15.2,3.8,28,56
29/07/2005,4389,10641,15.6,3.7,28,59
31/08/2005,4447,10482,16,3.4,28,65
30/09/2005,4641,10569,16,3.7,28,66
31/10/2005,4460,10440,15.3,3.8,28,62
30/11/2005,4635,10806,15.5,3.8,28,58
30/12/2005,4763,10718,16,3.7,28,59
31/01/2006,4930,10865,16.5,3.6,33,65
28/02/2006,4921,10993,14.7,3.8,33,62
31/03/2006,5130,11109,15.7,3.6,33,63
28/04/2006,5259,11367,16.2,3.5,33,70
31/05/2006,5002,11168,15.2,3.8,33,71
30/06/2006,5074,11150,15.3,3.8,33,71
31/07/2006,4986,11186,15.2,3.8,33,74
31/08/2006,5115,11381,13.3,3.9,33,73
29/09/2006,5154,11679,13.3,3.9,33,64
31/10/2006,5384,12081,13.9,3.7,33,59
30/11/2006,5482,12222,13.8,3.9,33,59
29/12/2006,5670,12463,14.4,3.7,33,62
31/01/2007,5773,12622,14.7,3.7,37,54
28/02/2007,5833,12269,13.9,3.8,37,59
30/03/2007,5995,12354,14.2,3.7,37,61
30/04/2007,6166,13063,14.6,3.6,37,64
31/05/2007,6314,13628,14.9,3.6,37,63
29/06/2007,6275,13409,15.1,3.3,37,67
31/07/2007,6144,13212,15.3,3.3,37,74
31/08/2007,6247,13358,13.6,3.6,37,72
28/09/2007,6568,13896,14.4,3.4,37,80
31/10/2007,6754,13930,14.9,3.4,37,86
30/11/2007,6533,13372,14.3,3.6,37,95
31/12/2007,6340,13265,14,3.7,37,91
31/01/2008,5650,12650,12.4,4.1,61,93
29/02/2008,5572,12266,12,4.1,61,95
31/03/2008,5356,12263,12.5,4.2,61,105
30/04/2008,5595,12820,12.5,4.2,61,113
30/05/2008,5655,12638,12.5,4.1,61,125
30/06/2008,5215,11350,11.3,4.5,61,134
31/07/2008,4977,11378,11,4.7,61,133
29/08/2008,5136,11544,11.4,4.8,61,117
30/09/2008,4601,10851,10.3,4.9,61,104
31/10/2008,4018,9325,8.6,6.5,61,77
28/11/2008,3743,8829,8.5,6.7,61,57
31/12/2008,3722,8776,8.9,6.3,70,41
30/01/2009,3541,8001,8.2,6.9,73,42
27/02/2009,3345,7063,8.7,6.8,76,39
31/03/2009,3582,7609,9.3,6.1,64,48
30/04/2009,3781,8168,9.8,5.6,60,50
29/05/2009,3818,8500,10.4,5.3,63,59
30/06/2009,3955,8447,10.3,5.2,72,70
31/07/2009,4244,9172,10.9,4.9,84,64
31/08/2009,4479,9496,13.6,4,98,71
30/09/2009,4744,9712,14.1,3.8,81,69
30/10/2009,4643,9713,13.7,3.9,87,76
30/11/2009,4701,10345,14.8,3.7,99,78
31/12/2009,4871,10428,15.2,3.6,105,74
29/01/2010,4570,10067,14.5,3.7,126,78
26/02/2010,4638,10325,16,3.5,128,76
31/03/2010,4876,10857,17.2,3.3,140,81
30/04/2010,4807,11009,16.7,3.5,172,84
31/05/2010,4430,10137,15.5,3.7,161,74
30/06/2010,4302,9774,15.2,3.8,144,75
30/07/2010,4494,10466,15.7,3.7,126,76
31/08/2010,4404,10015,15.2,4,145,77
30/09/2010,4583,10788,16.1,3.8,141,75
29/10/2010,4662,11118,16.1,3.9,148,82
30/11/2010,4584,11006,15.1,4.1,161,84
31/12/2010,4745,11578,15.9,3.9,169,89
31/01/2011,4754,11892,15.9,3.9,180,90
28/02/2011,4832,12226,15.3,3.9,187,89
31/03/2011,4838,12320,15.1,3.9,169,103
29/04/2011,4823,12811,14.8,4,179,110
