Date,PE Ratio,Dividend Yield (%)
Aug-09,13.55,3.98
Sep-09,14.13,3.82
Oct-09,13.73,3.93
Nov-09,14.75,3.7
Dec-09,15.17,3.58
Jan-10,14.49,3.69
Feb-10,15.98,3.48
Mar-10,17.16,3.34
Apr-10,16.69,3.47
May-10,15.52,3.74
Jun-10,15.15,3.84
Jul-10,15.72,3.7
Aug-10,15.24,3.99
Sep-10,16.05,3.82
Oct-10,16.14,3.93
Nov-10,15.14,4.05
Dec-10,15.91,3.9
Jan-11,15.9,3.92
Feb-11,15.29,3.92
Mar-11,15.05,3.9
Apr-11,14.84,3.99
May-11,14.32,4.08
Jun-11,13.89,4.23
Jul-11,13.37,4.38
Aug-11,12.26,4.51
Sep-11,11.26,4.9
Oct-11,12,4.6
Nov-11,11.81,4.76
Dec-11,12.11,4.81
Jan-12,12.58,4.64
Feb-12,12.49,4.64
Mar-12,12.94,4.58
Apr-12,13.36,4.47
May-12,12.57,4.82
Jun-12,12.59,4.79
Jul-12,12.81,4.72
Aug-12,14.26,4.58
Sep-12,14.38,4.5
Oct-12,14.79,4.45
Nov-12,14.64,4.49
Dec-12,15.59,4.33
Jan-13,16.42,4.11
Feb-13,17.21,3.99
Mar-13,17.01,4.06
Apr-13,17.64,3.92
May-13,16.99,4.09
Jun-13,16.52,4.21
Jul-13,17.29,4
Aug-13,16.18,4
Sep-13,16.8,4.21
Oct-13,16.92,4.09
Nov-13,16.56,4.19
Dec-13,16.72,4.19
Jan-14,16.26,4.29
Feb-14,16.1,4.06
Mar-14,15.9,4.26
Apr-14,16.19,4.19
May-14,16.07,4.23
Jun-14,15.74,4.3
Jul-14,16.48,4.11
Aug-14,16.23,4.22
Sep-14,15.2,4.52
Oct-14,16,4.25
Nov-14,15.02,4.41
Dec-14,15.39,4.48
Jan-15,15.72,4.38
Feb-15,15.72,4.18
Mar-15,15.57,4.21
Apr-15,16.86,4.21
May-15,15.86,4.5
Jun-15,15.4,4.62
Jul-15,15.77,4.5
Aug-15,15.62,4.94
Sep-15,15,5.07
Oct-15,15.73,4.78
Nov-15,15.77,4.74
Dec-15,15.82,4.73
Jan-16,15.05,4.97
Feb-16,14.36,4.78
Mar-16,14.6,4.7
Apr-16,15.47,4.43
May-16,16.98,4.54
Jun-16,16.03,4.63
Jul-16,17.33,4.28
Aug-16,16.72,4.35
Sep-16,16.53,4.38
Oct-16,16.04,4.58
Nov-16,16.88,4.45
Dec-16,17.74,4.25
Jan-17,17.29,4.36
Feb-17,18.48,4.16
Mar-17,18.64,4.09
Apr-17,19.01,4.01
May-17,17.18,4.18
Jun-17,17.32,4.19
Jul-17,17.36,4.18
Aug-17,15.39,4.39
Sep-17,15.39,4.36
Oct-17,15.8,4.22
Nov-17,15.88,4.17
Dec-17,16.07,4.13
Jan-18,15.88,4.14
Feb-18,16.05,4.17
Mar-18,15.42,4.35
Apr-18,15.99,4.18
May-18,16.04,4.18
Jun-18,16.7,4.06
Jul-18,16.84,4.02
Aug-18,16.93,4.02
Sep-18,16.7,4.08
Oct-18,15.56,4.4
Nov-18,15.35,4.47
Dec-18,14.77,4.65
Jan-19,15.72,4.37
Feb-19,15.77,4.28
Mar-19,16.1,4.2
Apr-19,16.29,4.17
May-19,16.26,4.02
