Date,DJIA (closing),
Aug 2009,9496.28,
Sep 2009,9712.28,
Oct 2009,9712.73,
Nov 2009,10344.84,
Dec 2009,10428.05,
Jan 2010,10067.33,
Feb 2010,10325.26,
Mar 2010,10856.63,
Apr 2010,11008.61,
May 2010,10136.63,
Jun 2010,9774.02,
Jul 2010,10465.94,
Aug 2010,10014.72,
Sep 2010,10788.05,
Oct 2010,11118.4,
Nov 2010,11006.02,
Dec 2010,11577.51,
Jan 2011,11891.93,
Feb 2011,12226.34,
Mar 2011,12319.73,
Apr 2011,12810.54,
May 2011,12569.79,
Jun 2011,12414.34,
Jul 2011,12143.24,
Aug 2011,11613.53,
Sep 2011,10913.38,
Oct 2011,11955.01,
Nov 2011,12045.68,
Dec 2011,12217.56,
Jan 2012,12632.91,
Feb 2012,12952.07,
Mar 2012,13212.04,
Apr 2012,13213.63,
May 2012,12393.45,
Jun 2012,12880.09,
Jul 2012,13008.68,
Aug 2012,13090.84,
Sep 2012,13437.13,
Oct 2012,13096.46,
Nov 2012,13025.58,
Dec 2012,13104.14,
Jan 2013,13860.58,
Feb 2013,14054.49,
Mar 2013,14578.54,
Apr 2013,14839.8,
May 2013,15115.57,
Jun 2013,14909.6,
Jul 2013,15499.54,
Aug 2013,14810.31,
Sep 2013,15129.67,
Oct 2013,15545.75,
Nov 2013,16086.41,
Dec 2013,16576.66,
Jan 2014,15698.85,
Feb 2014,16321.71,
Mar 2014,16457.66,
Apr 2014,16580.84,
May 2014,16717.17,
Jun 2014,16826.6,
Jul 2014,16563.3,
Aug 2014,17098.45,
Sep 2014,17042.9,
Oct 2014,17390.52,
Nov 2014,17828.24,
Dec 2014,17823.07,
Jan 2015,17164.95,
Feb 2015,18132.7,
Mar 2015,17776.12,
Apr 2015,17840.52,
May 2015,18010.68,
Jun 2015,17619.51,
Jul 2015,17689.86,
Aug 2015,16528.03,
Sep 2015,16284.7,
Oct 2015,17663.54,
Nov 2015,17719.92,
Dec 2015,17425.03,
Jan 2016,16466.3,
Feb 2016,16516.5,
Mar 2016,17685.09,
Apr 2016,17773.64,
May 2016,17787.2,
Jun 2016,17929.99,
Jul 2016,18432.24,
Aug 2016,18400.88,
Sep 2016,18308.15,
Oct 2016,18142.42,
Nov 2016,19132.42,
Dec 2016,19774.1,
Jan 2017,19864.09,
Feb 2017,20812.24,
Mar 2017,20662.26,
Apr 2017,20940.51,
May 2017,21008.65,
Jun 2017,21351.85,
Jul 2017,21963.92,
Aug 2017,21951.14,
Sep 2017,22405.09,
Oct 2017,23377.24,
Nov 2017,24259.82,
Dec 2017,24744.45,
Jan 2018,26149.39,
Feb 2018,25029.2,
Mar 2018,24103.11,
Apr 2018,24167.35,
May 2018,24415.84,
Jun 2018,24271.41,
Jul 2018,25413.56,
Aug 2018,25964.82,
Sep 2018,26458.31,
Oct 2018,25115.76,
Nov 2018,25538.46,
Dec 2018,23327.46,
Jan 2019,24999.67,
Feb 2019,25916,
Mar 2019,25928.68,
Apr 2019,26592.91,
May 2019,24815.04,
Jun 2019,26599.96,
Jul 2019,26864.27,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
