Date,Price,CVol,Change,% Change,Open,High,Low
8/12/2019,6584,0,0,0,"6,580.70","6,587.20","6,555.10"
8/09/2019,6584,664700,-184.14,-2.72,"6,762.90","6,764.80","6,444.40"
8/02/2019,6769,609521,-24.82,-0.37,"6,794.40","6,875.50","6,747.80"
07/26/19,6793,664358,93.04,1.39,"6,701.30","6,818.00","6,673.20"
07/19/19,6700,482743,3.8,0.06,"6,694.90","6,705.40","6,626.60"
7/12/2019,6697,565573,-54.74,-0.81,"6,740.00","6,740.00","6,641.40"
7/05/2019,6751,579053,132.51,2,"6,631.50","6,769.60","6,631.40"
06/28/19,6619,754152,-32.01,-0.48,"6,647.50","6,680.30","6,606.30"
06/21/19,6651,1162799,96.79,1.48,"6,550.30","6,691.50","6,527.00"
06/14/19,6554,584250,110.11,1.71,"6,454.30","6,587.30","6,453.60"
6/07/2019,6444,600016,47.04,0.74,"6,383.70","6,443.90","6,315.60"
05/31/19,6397,742869,-59.19,-0.92,"6,455.80","6,491.70","6,362.20"
05/24/19,6456,585617,90.74,1.43,"6,383.00","6,510.90","6,381.70"
05/17/19,6365,590227,54.45,0.86,"6,298.20","6,398.30","6,203.10"
5/10/2019,6311,516076,-24.95,-0.39,"6,326.90","6,341.90","6,241.50"
5/03/2019,6336,520286,-49.85,-0.78,"6,385.50","6,385.50","6,316.30"
04/26/19,6386,553481,125.83,2.01,"6,267.20","6,390.50","6,267.20"
04/18/19,6260,564411,8.49,0.14,"6,253.40","6,286.00","6,237.60"
4/12/2019,6251,518927,70.06,1.13,"6,181.30","6,251.30","6,181.30"
4/05/2019,6181,494452,0.53,0.01,"6,189.30","6,287.90","6,169.80"
03/29/19,6181,789633,-14.5,-0.23,"6,177.40","6,213.40","6,096.80"
03/22/19,6195,537958,20.06,0.32,"6,175.20","6,227.10","6,134.00"
03/15/19,6175,1173805,-28.59,-0.46,"6,203.80","6,222.90","6,127.30"
3/08/2019,6204,646238,11.03,0.18,"6,198.00","6,270.90","6,175.70"
3/01/2019,6193,715509,25.42,0.41,"6,180.10","6,209.90","6,106.00"
02/22/19,6167,788345,101.21,1.67,"6,075.80","6,176.20","6,073.70"
02/15/19,6066,662251,-5.36,-0.09,"6,075.10","6,094.00","6,028.60"
2/08/2019,6071,616478,208.63,3.56,"5,865.00","6,105.90","5,848.90"
