Date,WTI
Aug-09,71.06
Sep-09,69.44
Oct-09,75.77
Nov-09,78
Dec-09,74.49
Jan-10,78.34
Feb-10,76.3
Mar-10,81.25
Apr-10,84.5
May-10,73.74
Jun-10,75.35
Jul-10,76.16
Aug-10,76.6
Sep-10,75.26
Oct-10,81.9
Nov-10,84.19
Dec-10,89.22
Jan-11,89.51
Feb-11,89.37
Mar-11,102.92
Apr-11,110.04
May-11,101.25
Jun-11,96.25
Jul-11,97.19
Aug-11,86.32
Sep-11,85.62
Oct-11,86.41
Nov-11,97.07
Dec-11,98.61
Jan-12,100.15
Feb-12,102.26
Mar-12,106.15
Apr-12,103.28
May-12,94.51
Jun-12,82.36
Jul-12,87.89
Aug-12,94.11
Sep-12,94.61
Oct-12,89.52
Nov-12,86.69
Dec-12,88.19
Jan-13,94.65
Feb-13,95.3
Mar-13,93.12
Apr-13,92.02
May-13,94.72
Jun-13,95.79
Jul-13,104.55
Aug-13,106.55
Sep-13,106.31
Oct-13,100.5
Nov-13,93.81
Dec-13,97.9
Jan-14,95
Feb-14,100.7
Mar-14,100.57
Apr-14,102.18
May-14,102
Jun-14,105.24
Jul-14,102.99
Aug-14,96.38
Sep-14,93.35
Oct-14,84.4
Nov-14,75.7
Dec-14,59.1
Jan-15,47.6
Feb-15,50.72
Mar-15,47.78
Apr-15,54.2
May-15,59.26
Jun-15,59.8
Jul-15,51.16
Aug-15,42.86
Sep-15,45.48
Oct-15,46.2
Nov-15,42.65
Dec-15,37.24
Jan-16,31.7
Feb-16,30.35
Mar-16,37.77
Apr-16,40.96
May-16,46.85
Jun-16,48.75
Jul-16,44.89
Aug-16,44.75
Sep-16,45.17
Oct-16,49.89
Nov-16,45.62
Dec-16,52.01
Jan-17,52.56
Feb-17,53.4
Mar-17,49.58
Apr-17,51.17
May-17,48.56
Jun-17,45.17
Jul-17,46.69
Aug-17,48.07
Sep-17,49.89
Oct-17,51.61
Nov-17,56.68
Dec-17,57.93
Jan-18,63.66
Feb-18,62.16
Mar-18,72.78
Apr-18,71.73
May-18,77.08
Jun-18,75.91
Jul-18,74.8
Aug-18,73.86
Sep-18,79.15
Oct-18,80.6
Nov-18,65.65
Dec-18,57.76
Jan-19,60.07
Feb-19,58.22
Mar-19,66.99
Apr-19,71.59
May-19,70.18
Jun-19,62.93
