Date,aud_usd
4-Jan-94,0.502266
5-Jan-94,0.500871
6-Jan-94,0.500461
10-Jan-94,0.498091
11-Jan-94,0.503756
12-Jan-94,0.502598
13-Jan-94,0.503296
14-Jan-94,0.502181
17-Jan-94,0.502683
18-Jan-94,0.507314
19-Jan-94,0.508874
20-Jan-94,0.511076
21-Jan-94,0.509193
24-Jan-94,0.512127
25-Jan-94,0.516394
27-Jan-94,0.514304
28-Jan-94,0.511904
31-Jan-94,0.515111
1-Feb-94,0.514903
2-Feb-94,0.51466
3-Feb-94,0.51673
4-Feb-94,0.517112
7-Feb-94,0.517458
8-Feb-94,0.522201
9-Feb-94,0.521649
10-Feb-94,0.5242
11-Feb-94,0.52037
14-Feb-94,0.512225
15-Feb-94,0.507006
16-Feb-94,0.509633
17-Feb-94,0.510836
18-Feb-94,0.511651
21-Feb-94,0.511652
22-Feb-94,0.51662
23-Feb-94,0.518984
24-Feb-94,0.523743
25-Feb-94,0.517666
28-Feb-94,0.512972
1-Mar-94,0.509811
2-Mar-94,0.503593
3-Mar-94,0.505715
7-Mar-94,0.51664
8-Mar-94,0.514684
9-Mar-94,0.511002
10-Mar-94,0.506493
11-Mar-94,0.505737
14-Mar-94,0.51223
15-Mar-94,0.514928
17-Mar-94,0.508741
24-Mar-94,0.508215
25-Mar-94,0.502178
28-Mar-94,0.505538
29-Mar-94,0.501939
30-Mar-94,0.498604
31-Mar-94,0.496108
5-Apr-94,0.499236
6-Apr-94,0.504914
8-Apr-94,0.514325
11-Apr-94,0.514679
12-Apr-94,0.515653
15-Apr-94,0.519325
18-Apr-94,0.516933
19-Apr-94,0.511018
20-Apr-94,0.51013
21-Apr-94,0.506288
22-Apr-94,0.511626
26-Apr-94,0.509311
27-Apr-94,0.50694
28-Apr-94,0.504357
29-Apr-94,0.501203
3-May-94,0.49901
4-May-94,0.493978
5-May-94,0.503432
6-May-94,0.506405
9-May-94,0.504608
10-May-94,0.509247
11-May-94,0.51255
12-May-94,0.509165
13-May-94,0.512653
16-May-94,0.514133
17-May-94,0.515752
18-May-94,0.517279
19-May-94,0.514224
20-May-94,0.515396
23-May-94,0.516082
24-May-94,0.518776
25-May-94,0.519962
26-May-94,0.517216
27-May-94,0.517963
30-May-94,0.518054
31-May-94,0.519355
1-Jun-94,0.521542
2-Jun-94,0.521285
3-Jun-94,0.522437
6-Jun-94,0.523831
7-Jun-94,0.521604
8-Jun-94,0.519823
9-Jun-94,0.520256
10-Jun-94,0.519973
14-Jun-94,0.516465
15-Jun-94,0.51316
16-Jun-94,0.509692
17-Jun-94,0.514936
20-Jun-94,0.515382
21-Jun-94,0.514402
22-Jun-94,0.51615
23-Jun-94,0.509968
24-Jun-94,0.50615
27-Jun-94,0.496978
28-Jun-94,0.501077
29-Jun-94,0.497793
30-Jun-94,0.503394
5-Jul-94,0.503312
6-Jul-94,0.497167
7-Jul-94,0.503616
8-Jul-94,0.499954
12-Jul-94,0.499403
13-Jul-94,0.500065
14-Jul-94,0.500669
15-Jul-94,0.503345
18-Jul-94,0.499795
19-Jul-94,0.499512
20-Jul-94,0.50712
21-Jul-94,0.504283
22-Jul-94,0.5097
29-Jul-94,0.51224
1-Aug-94,0.506455
2-Aug-94,0.508261
8-Aug-94,0.513367
9-Aug-94,0.513988
10-Aug-94,0.512508
11-Aug-94,0.517719
12-Aug-94,0.510651
15-Aug-94,0.510666
16-Aug-94,0.509662
17-Aug-94,0.51118
18-Aug-94,0.507371
19-Aug-94,0.504489
22-Aug-94,0.502535
23-Aug-94,0.500671
24-Aug-94,0.504734
25-Aug-94,0.507897
26-Aug-94,0.507438
29-Aug-94,0.512265
30-Aug-94,0.512413
31-Aug-94,0.512882
1-Sep-94,0.512174
2-Sep-94,0.511559
5-Sep-94,0.506691
6-Sep-94,0.5062
